class,bruises,gill-spacing,gill-size,gill-color,stalk-root,ring-type,spore-print-color
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
poisonous,no,close,narrow,gray,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
poisonous,no,close,broad,chocolate,bulbous,large,chocolate
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,no,crowded,broad,black,equal,evanescent,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
poisonous,yes,close,narrow,black,equal,pendant,black
edible,no,crowded,broad,brown,equal,evanescent,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
poisonous,no,crowded,narrow,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,no,crowded,broad,black,equal,evanescent,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
poisonous,yes,close,narrow,pink,equal,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,no,crowded,broad,chocolate,equal,evanescent,black
edible,no,crowded,broad,black,equal,evanescent,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
poisonous,no,crowded,narrow,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,no,crowded,broad,brown,equal,evanescent,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
poisonous,no,close,broad,gray,bulbous,large,chocolate
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
poisonous,no,close,broad,chocolate,bulbous,large,chocolate
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
poisonous,no,close,broad,chocolate,bulbous,large,chocolate
poisonous,no,crowded,narrow,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
poisonous,no,close,narrow,gray,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
poisonous,no,close,broad,pink,bulbous,large,chocolate
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
poisonous,no,close,broad,pink,bulbous,large,chocolate
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
poisonous,no,close,broad,gray,bulbous,large,chocolate
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
poisonous,no,close,broad,gray,bulbous,large,chocolate
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
poisonous,no,close,narrow,gray,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,no,crowded,broad,pink,equal,evanescent,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,no,crowded,broad,chocolate,equal,evanescent,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
poisonous,no,close,narrow,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,no,crowded,broad,brown,equal,evanescent,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
poisonous,no,close,broad,chocolate,bulbous,large,chocolate
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,no,crowded,broad,chocolate,equal,evanescent,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
poisonous,no,close,narrow,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
poisonous,no,close,broad,gray,bulbous,large,chocolate
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
poisonous,no,close,broad,gray,bulbous,large,chocolate
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,no,crowded,broad,pink,equal,evanescent,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
poisonous,no,crowded,narrow,gray,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,no,crowded,broad,chocolate,equal,evanescent,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,no,crowded,broad,brown,equal,evanescent,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
poisonous,no,crowded,narrow,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,no,crowded,broad,pink,equal,evanescent,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
poisonous,no,crowded,narrow,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,no,crowded,broad,black,equal,evanescent,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
poisonous,no,close,narrow,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,no,crowded,broad,black,equal,evanescent,black
edible,yes,close,broad,purple,bulbous,pendant,black
poisonous,no,crowded,narrow,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
poisonous,no,close,broad,chocolate,bulbous,large,chocolate
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,brown
poisonous,no,close,broad,gray,bulbous,large,chocolate
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
poisonous,no,close,broad,chocolate,bulbous,large,chocolate
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,white,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,white,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,black
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,purple,bulbous,pendant,black
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,pink,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,brown
edible,yes,close,broad,brown,bulbous,pendant,black
